,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
1408,2085,Martena Neal,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,79.0,Somewhat clean,Very safe,Somewhat satisfied
1409,2429,Xandra Hartman,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,160.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1410,2702,Meredith Gutierrez,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,2018-12-31,302.0,Average,Neutral,Somewhat satisfied
1411,551,Mr. Kermit Deleon,Thursday,EMIRATES,DUBAI,middle east,    Hub,Gates 1-12,2018-12-31,225.0,Somewhat clean,Very safe,Somewhat satisfied
1412,1735,Derek Terrell,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,120.0,Clean,Very safe,Somewhat satisfied
1413,1009,Shaeleigh Mccarthy,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,    Medium,Gates 91-102,2018-12-31,94.99999999999979,Clean,Very safe,Very satisfied
1414,432,Burke Leon,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,215.0,Somewhat clean,Neutral,Somewhat satisfied
1416,455,Mr. Clinton Holmes,Sunday,ALASKA,LAS VEGAS,West US,Hub,Gates 50-59,2018-12-31,105.0,Clean,Very safe,Very satisfied
1417,498,Whoopi Tillman,Sunday,ALASKA,PORTLAND,West US,    Medium,Gates 50-59,2018-12-31,118.0,Average,Somewhat safe,Neutral
1418,785,Hamilton Gardner,Thursday,UNITED INTL,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 91-102,2018-12-31,90.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1419,1682,Graiden Bridges,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,125.0,Clean,Very safe,Very satisfied
1420,3262,Sheila Robinson,Tuesday,UNITED,SAN DIEGO,West US,    Medium,Gates 70-90,2018-12-31,180.0,Average,Neutral,Neutral
1421,2826,Cameron Barlow,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,78.0,Clean,Very safe,Very satisfied
1422,322,Kasimir Irwin,Thursday,UNITED,BURBANK,West US,Small     ,Gates 70-90,2018-12-31,130.0,Somewhat clean,Very safe,Very satisfied
1423,410,Ms. Lilah Chen,Sunday,UNITED,HOUSTON-BUSH,Midwest US,Hub,Gates 70-90,2018-12-31,362.0,Clean,Very safe,Very satisfied
1424,3154,Judith Price,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,2018-12-31,105.0,Somewhat clean,Very safe,Neutral
1425,1377,Dane Barker,Tuesday,UNITED INTL,PARIS-DE GAULLE,Europe,Hub,Gates 91-102,2018-12-31,145.0,Somewhat clean,Somewhat safe,Neutral
1426,2357,Micah Bullock,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,69.9999999999999,Somewhat clean,Somewhat safe,Neutral
1427,800,Leonard Stevens,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,130.0,Clean,Very safe,Very satisfied
1428,2668,Ms. Beverly Hampton,Friday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 60-69,2018-12-31,210.0,Average,Somewhat safe,Somewhat satisfied
1429,2080,Devin Morrison,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,122.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1430,1146,Mr. Jordan Cooke,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,70.0000000000001,Clean,Somewhat safe,Somewhat satisfied
1431,638,Miss Ann Hale,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,140.0,Average,Very safe,Somewhat satisfied
1432,681,Graiden Riddle,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,125.0,Average,Neutral,Somewhat satisfied
1434,398,Julian Stanley,Friday,ALASKA,INDIANAPOLIS,Midwest US,Medium,Gates 50-59,2018-12-31,100.0,Clean,Very safe,Somewhat satisfied
1435,247,Christine Carter,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,2018-12-31,100.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1436,2995,Hasad Valentine,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,60.0,Somewhat clean,Very safe,Somewhat satisfied
1437,2363,Bevis Mcdowell,Wednesday,UNITED,AUSTIN,Midwest US,    Medium,Gates 70-90,2018-12-31,90.0,Average,Very safe,Neutral
1438,3054,Alec Davis,Tuesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,2018-12-31,155.0,Clean,Very safe,Very satisfied
1439,435,Dr. Daniel Hood,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,395.0,Average,Somewhat safe,Neutral
1440,1517,Ms. Britanney Schmidt,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,90.0,Somewhat clean,Very safe,Somewhat satisfied
1441,1678,Wanda Jackson,Saturday,CATHAY PACIFIC,HONG KONG,Asia,    Hub,Gates 1-12,2018-12-31,140.0,Somewhat dirty,Neutral,Somewhat unsatisfied
1442,1533,Quyn Henderson,Wednesday,ALASKA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,65.0,Somewhat clean,Very safe,Somewhat satisfied
1443,2019,Hammett Duncan,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,180.0,Clean,Very safe,Very satisfied
1444,511,Duncan Stark,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,118.0,Somewhat clean,Very safe,Very satisfied
1445,1428,Jin Shannon,Wednesday,UNITED,LAS VEGAS,West US,    Hub,Gates 60-69,2018-12-31,110.0,Somewhat dirty,Neutral,Somewhat unsatisfied
1446,2368,Fulton Meadows,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,375.0,Somewhat clean,Very safe,Somewhat satisfied
1447,2835,Dr. Malik Hanson,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub     ,Gates 70-90,2018-12-31,100.0,Clean,Very safe,Somewhat satisfied
1448,3009,Laith Espinoza,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,2018-12-31,838.0,Clean,Neutral,Somewhat satisfied
1449,2930,Dr. Jared Holman,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,255.0,Clean,Somewhat safe,Very satisfied
1453,2448,Julie Davidson,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,87.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1454,2687,Dr. Jane Harrell,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,2018-12-31,107.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1455,492,Aphrodite Shannon,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,148.0,Clean,Somewhat safe,Somewhat satisfied
1456,979,Jermaine Randall,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,115.0,Average,Neutral,Very satisfied
1457,3288,Hammett Talley,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,85.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1458,2674,Sasha Riggs,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,117.0,Somewhat clean,Somewhat safe,Neutral
1459,2293,Dr. Damian Wynn,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,225.0,Clean,Very safe,Very satisfied
1461,1971,Aidan Macias,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,2018-12-31,155.0,Somewhat clean,Very safe,Very satisfied
1462,353,Sawyer Hines,Friday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,105.0,Somewhat clean,Very safe,Somewhat satisfied
1463,2831,Mr. Hector Caldwell,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,78.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1464,1418,Abra Webb,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,172.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1466,1734,Stone Price,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,170.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1467,3081,Cheyenne Stout,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,133.0,Somewhat clean,Very safe,Neutral
1468,2194,Lareina Wall,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Very safe,Neutral
1469,764,Dr. Ella Pena,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,90.0,Somewhat clean,Neutral,Somewhat satisfied
1470,1473,Quintessa Sherman,Wednesday,AVIANCA,SAN SALVADOR,Central/South America,Small,Gates 1-12,2018-12-31,115.0,Somewhat clean,Neutral,Somewhat satisfied
1471,1497,Ishmael Duffy,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-01-01,119.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1472,1681,Ms. Willa Stuart,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,125.0,Clean,Very safe,Somewhat satisfied
1473,2603,Gareth Hunt,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,117.0,Clean,Very safe,Very satisfied
1474,2742,Stewart Jacobs,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,150.0,Somewhat clean,Very safe,Somewhat satisfied
1475,2423,Ms. Amaya Pate,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,235.0,Clean,Very safe,Very satisfied
1476,2830,Dr. Xavier Medina,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,73.0,Clean,Very safe,Somewhat satisfied
1477,915,Mr. Marvin Mcneil,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,180.0,Somewhat clean,Somewhat safe,Very satisfied
1478,1991,Imogene Harris,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,2018-12-31,85.0000000000001,Somewhat clean,Very safe,Somewhat satisfied
1479,559,Abbot Hensley,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,100.0,Somewhat clean,Very safe,Somewhat satisfied
1480,306,Miss Fiona Velez,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,122.0,Somewhat clean,Very safe,Somewhat satisfied
1482,1108,Rinah Stephenson,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,    Hub,Gates 40-48,2018-12-31,105.0,Average,Neutral,Somewhat unsatisfied
1483,1394,Ms. Olivia Keith,Tuesday,UNITED INTL,PARIS-DE GAULLE,Europe,Hub,Gates 91-102,2018-12-31,195.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1484,1347,Vielka Rosario,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,110.0,Somewhat clean,Very safe,Somewhat satisfied
1485,762,Lani Sawyer,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,85.0,Clean,Somewhat safe,Somewhat satisfied
1486,223,Clayton Sparks,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,130.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1487,1074,Oprah Ingram,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,2018-12-31,325.0,Somewhat clean,Very safe,Somewhat satisfied
1491,1558,Acton Smith,Wednesday,DELTA,ATLANTA,EAST US,    Hub,Gates 40-48,2018-12-31,105.0,Somewhat clean,Very safe,Somewhat satisfied
1493,1468,Demetria Byrd,Wednesday,AVIANCA,SAN SALVADOR,Central/South America,Small,Gates 1-12,2018-12-31,130.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1494,1035,Patience Galloway,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,94.99999999999979,Average,Somewhat safe,Somewhat satisfied
1495,2456,Hoyt Alvarez,Friday,UNITED,DENVER,West US,    Hub,Gates 70-90,2018-12-31,86.0,Average,Neutral,Neutral
1496,3118,Dara Pennington,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,94.99999999999979,Average,Neutral,Somewhat unsatisfied
1497,2629,Ebony Davidson,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,90.0,Average,Very safe,Somewhat satisfied
1498,393,Brent Rosario,Friday,ALASKA,INDIANAPOLIS,Midwest US,Medium,Gates 50-59,2018-12-31,160.0,Somewhat clean,Very safe,Somewhat satisfied
1499,1889,Melyssa Mayer,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,120.0,Clean,Very safe,Somewhat satisfied
1500,1235,Regan Kelly,Thursday,CHINA EASTERN,SHANGHAI,Asia,    Hub,Gates 1-12,2018-12-31,130.0,Clean,Somewhat safe,Neutral
1501,2061,Leah Barlow,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,120.0,Somewhat clean,Somewhat safe,Very satisfied
1502,2907,Nathan Santos,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,90.0,Clean,Very safe,Somewhat satisfied
1504,438,Uta Mckee,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,2018-12-31,82.9999999999999,Somewhat clean,Somewhat safe,Somewhat satisfied
1505,580,Lawrence Gallegos,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,50.0,Clean,Very safe,Somewhat satisfied
1506,1892,Matthew Edwards,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,165.0,Clean,Somewhat safe,Somewhat satisfied
1507,491,Xander Wilson,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,246.0,Average,Very safe,Somewhat satisfied
1508,3192,Kelly Pittman,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satisfied
1509,1579,Brynne Pugh,Wednesday,UNITED INTL,HONG KONG,Asia,Hub     ,Gates 91-102,2018-12-31,180.0,Somewhat clean,Very safe,Somewhat satisfied
1510,1175,Shea Collins,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,2018-12-31,140.0,Clean,Very safe,Somewhat satisfied
1511,1600,Hu Carver,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,210.0,Somewhat clean,Somewhat safe,Neutral
1512,1904,Stacey Coleman,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,115.0,Somewhat clean,Neutral,Somewhat satisfied
1513,1151,Kaye Mcgowan,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,60.00000000000011,Clean,Very safe,Very satisfied
1514,1895,Vivien Cobb,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,175.0,Somewhat clean,Very safe,Somewhat satisfied
1515,2433,Vaughan Harrison,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,55.0,Clean,Very safe,Very satisfied
1516,2706,Porter Hudson,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,105.0,Clean,Somewhat safe,Somewhat satisfied
1517,1832,Carl Conway,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,2018-12-31,130.0,Clean,Very safe,Very satisfied
1519,1645,Lyle Bradshaw,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1520,2993,Hashim Walter,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,2018-12-31,104.0,Somewhat dirty,Somewhat safe,Neutral
1521,1433,Branden Larson,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,160.0,Somewhat clean,Very safe,Somewhat satisfied
1522,3057,Idola Ball,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,335.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1523,2928,Camilla White,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,315.0,Somewhat clean,Neutral,Somewhat satisfied
1524,3134,Rafael Lowery,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,215.0,Clean,Very safe,Very satisfied
1525,2889,Victor Leon,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,64.9999999999999,Somewhat clean,Somewhat safe,Somewhat satisfied
1526,2973,Yasir Lynch,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satisfied
1527,2197,Dr. Emerson Woodard,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,210.0,Average,Very safe,Somewhat satisfied
1528,1703,Dr. Astra Mcneil,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,150.0,Clean,Very safe,Very satisfied
1529,385,Dr. Shafira Marks,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,145.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1530,872,Mr. Dominic Smith,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,985.0,Average,Neutral,Neutral
1531,593,Talon Holder,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,102.0,Clean,Somewhat safe,Very satisfied
1532,2225,Ivor Wise,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,300.0,Somewhat clean,Somewhat safe,Neutral
1533,3083,Carolyn Clay,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,185.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1534,1357,Jerome Ruiz,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,185.0,Clean,Very safe,Very satisfied
1535,610,Todd Chase,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,162.0,Somewhat clean,Very safe,Somewhat satisfied
1536,1062,Gray Noel,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,2018-12-31,325.0,Somewhat clean,Very safe,Somewhat satisfied
1537,1901,Ann Sanchez,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,235.0,Clean,Somewhat safe,Somewhat satisfied
1538,1488,Mr. Alec Heath,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-01-01,179.0,Clean,Somewhat safe,Somewhat satisfied
1539,1102,Heidi Terry,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1540,1578,Alana Velasquez,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,2018-12-31,115.0,Clean,Neutral,Very satisfied
1541,757,Mr. Jared York,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,115.0,Clean,Very safe,Neutral
1542,1774,Abbot Lester,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,2018-12-31,145.0,Clean,Very safe,Very satisfied
1544,1979,Dr. Fulton Turner,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Very safe,Somewhat satisfied
1545,2144,Dr. Maggie Cortez,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,125.0,Average,Neutral,Neutral
1546,279,Ramona Wade,Thursday,UNITED,BALTIMORE,EAST US,Medium     ,Gates 70-90,2018-12-31,644.0,Somewhat clean,Very safe,Somewhat satisfied
1547,2388,Dr. Lynn Thomas,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,2018-12-31,125.0,Somewhat clean,Somewhat safe,Neutral
1548,2858,Aquila Graham,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,2018-12-31,57.0,Average,Somewhat safe,Neutral
1549,3072,Gareth Marks,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,342.0,Somewhat clean,Very safe,Somewhat satisfied
1550,1331,Dolan Wolf,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,2018-12-31,50.00000000000011,Somewhat clean,Neutral,Somewhat satisfied
1551,652,Julie Coffey,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,185.0,Clean,Very safe,Very satisfied
1552,2286,Emerson Hatfield,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Somewhat safe,Neutral
1553,268,Claire Rios,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,175.0,Somewhat clean,Very safe,Somewhat satisfied
1554,3158,Christian Doyle,Thursday,DELTA,SALT LAKE CITY,West US,    Medium,Gates 40-48,2018-12-31,45.0,Average,Somewhat safe,Neutral
1555,3096,Haley Oliver,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,245.0,Somewhat clean,Very safe,Somewhat satisfied
1556,1790,Rigel Day,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,2018-12-31,110.0,Somewhat clean,Very safe,Somewhat satisfied
1557,2876,Clare Gould,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,300.0,Somewhat clean,Very safe,Somewhat satisfied
1558,1114,Ms. Keiko Mcfarland,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,90.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1559,1398,Duncan Chandler,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,100.0,Clean,Very safe,Neutral
1560,3201,Penelope Stark,Tuesday,UNITED,ONTARIO (CALIF),West US,Small     ,Gates 70-90,2018-12-31,95.0,Clean,Somewhat safe,Somewhat satisfied
1561,2791,Kasper Shields,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,2018-12-31,145.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1563,655,Dr. Rose Fleming,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,445.0,Somewhat clean,Very safe,Somewhat satisfied
1564,1536,Miss Petra Mitchell,Wednesday,AIR CHINA,BEIJING,Asia,Hub     ,Gates 91-102,2018-12-31,170.0,Somewhat clean,Neutral,Neutral
1565,2563,Ms. Regan Lynch,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,180.0,Somewhat clean,Very safe,Somewhat satisfied
1566,2787,Keane Bennett,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,165.0,Somewhat clean,Very safe,Somewhat satisfied
1567,1727,Nash Head,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,100.0,Somewhat dirty,Neutral,Neutral
1568,2782,Ainsley Riley,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,135.0,Somewhat clean,Very safe,Neutral
1569,1044,Kirestin Newton,Friday,AIR CANADA,CALGARY,Canada/Mexico,    Medium,Gates 91-102,2018-12-31,355.0,Clean,Very safe,Very satisfied
1571,672,Jakeem Hall,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,125.0,Average,Somewhat safe,Neutral
1572,1856,Reece Mitchell,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,70.0000000000001,Somewhat clean,Very safe,Somewhat satisfied
1574,596,Wanda Walls,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,87.0,Clean,Very safe,Very satisfied
1576,2168,Barry Mccray,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,213.0,Clean,Very safe,Very satisfied
1578,871,Dr. Zahir Hardin,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,325.0,Clean,Very safe,Somewhat satisfied
1579,2880,Graiden Cox,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satisfied
1580,2228,Miss Lara Green,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,225.0,Somewhat clean,Very safe,Somewhat satisfied
1581,3044,Felix Bell,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,190.0,Average,Somewhat safe,Neutral
1582,1860,Mr. Addison Day,Tuesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,84.9999999999999,Average,Somewhat safe,Neutral
1583,1945,Tallulah Guzman,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satisfied
1584,2573,Jocelyn Guzman,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,    Medium,Gates 1-12,2018-12-31,105.0,Clean,Very safe,Very satisfied
1585,2238,Ivory Miller,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,195.0,Somewhat clean,Neutral,Neutral
1586,2786,Mr. Eaton Vazquez,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,2018-12-31,265.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1587,2148,Silas Clemons,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,115.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1589,2335,Quinn Barry,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,2018-12-31,119.0,Clean,Somewhat safe,Very satisfied
1590,318,Orson Pratt,Thursday,UNITED,BURBANK,West US,Small     ,Gates 70-90,2018-12-31,250.0,Somewhat clean,Somewhat safe,Somewhat satisfied
1591,674,Constance Morse,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,115.0,Clean,Somewhat safe,Neutral
1592,495,Ms. Vanna Rivera,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,118.0,Clean,Very safe,Very satisfied
1593,3233,Miss Venus Lowe,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,220.0,Clean,Very safe,Somewhat satisfied
